@id	@type	@lat	@lon	name	highway	lanes	maxspeed	oneway
5670881	way	40.8158476	-73.9394963	Malcolm X Boulevard	secondary	2		yes
5670888	way	40.7118036	-73.9867923	Clinton Street	residential	1	25 mph	yes
5670891	way	40.7538737	-73.9641987	East 51st Street	residential			
5670894	way	40.8634132	-73.9184858	West 206th Street	residential			yes
5670896	way	40.7298434	-74.0105964	Clarkson Street	secondary	1	25 mph	yes
5670897	way	40.7280156	-73.9951673	West 3rd Street	residential		25 mph	yes
5670899	way	40.7551794	-73.9625062	Sutton Place South	residential	1	25 mph	yes
5670920	way	40.7040484	-74.0123957	Stone Street	residential	1	20 mph	yes
5670922	way	40.7224742	-73.9871261	Ludlow Street	residential		25 mph	yes
5670924	way	40.7357291	-73.9929717	East 14th Street	residential	2	25 mph	
5670938	way	40.7698173	-73.9861816	West 59th Street	tertiary		25 mph	yes
5670941	way	40.7368895	-74.0033885	Bank Street	residential		20 mph	yes
5670942	way	40.7363192	-74.0074666	Bank Street	residential		25 mph	yes
5670946	way	40.8655677	-73.9278384	Riverside Drive	primary			yes
5670961	way	40.8166121	-73.9615274	Riverside Drive	secondary			yes
5670964	way	40.8160640	-73.9616977		secondary_link	1		yes
5670967	way	40.8123205	-73.9635368		secondary_link	1		yes
5670971	way	40.7943621	-73.9761083	Riverside Drive	residential			yes
5670976	way	40.8393791	-73.9457016	Riverside Drive	residential			yes
5670983	way	40.8396250	-73.9458440	Riverside Drive	secondary	4		
5670988	way	40.8310297	-73.9496671	Riverside Drive	residential			yes
5670996	way	40.7938266	-73.9768016	Riverside Drive	secondary			
5671007	way	40.7343487	-74.0092760	Charles Lane	service			yes
5671008	way	40.7053924	-74.0084170	Beaver Street	residential	1	20 mph	yes
5671009	way	40.8051472	-73.9452611	Mount Morris Park West	residential			yes
5671015	way	40.7940658	-73.9588133	102nd Street Crossing	service			
5671028	way	40.7261282	-74.0103922	Spring Street	residential	2	25 mph	no
5671030	way	40.8546868	-73.9356963	Overlook Terrace	tertiary		20 mph	
5671056	way	40.7716639	-73.9866743	Amsterdam Avenue	primary	3	25 mph	yes
5671059	way	40.7185987	-73.9766311	Baruch Place	residential		25 mph	yes
5671061	way	40.7154283	-73.9782220	Baruch Drive	residential		25 mph	yes
5671083	way	40.7239181	-73.9909947	2nd Avenue	primary	4	25 mph	yes
5671084	way	40.7082191	-74.0175555	South End Avenue	residential	2	20 mph	no
5671086	way	40.8086907	-73.9646993	Claremont Avenue	residential			no
5671089	way	40.7887738	-73.9557023	97th Street Transverse	secondary	2	25 mph	yes
5671090	way	40.7890971	-73.9567493	97th Street Transverse	secondary	1	25 mph	yes
5671092	way	40.7917580	-73.9628963	97th Street Transverse	secondary	1	25 mph	yes
5671093	way	40.7831241	-73.9742625	West 81st Street	secondary	3	25 mph	
5671095	way	40.7298884	-73.9893048	Stuyvesant Street	residential	1	25 mph	yes
5671103	way	40.8014842	-73.9612652	Columbus Avenue	primary	3	25 mph	yes
5671106	way	40.7905934	-73.9700636	West 92nd Street	residential			yes
5671109	way	40.8548446	-73.9323161	Wadsworth Terrace	residential			yes
5671111	way	40.7226227	-73.9870691	East 1st Street	residential		25 mph	yes
5671112	way	40.8596270	-73.9280225	Ellwood Street	residential			yes
5671115	way	40.7628507	-73.9913249	West 48th Street	residential	3	25 mph	yes
5671117	way	40.7625934	-73.9984712	West 44th Street	unclassified	1	25 mph	yes
5671118	way	40.8255952	-73.9386376	West 150th Street	residential			yes
5671119	way	40.8287251	-73.9460707	West 150th Street	residential			yes
5671121	way	40.7137493	-74.0046238	Elk Street	unclassified	1	20 mph	yes
5671129	way	40.7619529	-73.9736649	East 56th Street	residential	2		yes
5671134	way	40.7928328	-73.9652320	West 97th Street	residential	2	25 mph	yes
5671135	way	40.8185094	-73.9356815	West 143rd Street	residential	1	25 mph	yes
5671137	way	40.8245918	-73.9500912	West 143rd Street	residential			yes
5671140	way	40.7060624	-74.0169078	Little West Street	residential	1	20 mph	yes
5671158	way	40.7284120	-73.9900157	Taras Shevchenko Place	residential			yes
5671162	way	40.8025731	-73.9430626	East 120th Street	residential	1		yes
5671172	way	40.7142384	-74.0027506	Centre Street	secondary	2	20 mph	yes
5671179	way	40.7104753	-73.9887949		service			yes
5671181	way	40.7516062	-73.9861842	West 37th Street	secondary	3	25 mph	yes
5671185	way	40.8756390	-73.9102624	Marble Hill Avenue	residential			yes
5671187	way	40.8272095	-73.9386408	West 152nd Street	residential			yes
5671189	way	40.8308493	-73.9472344	West 152nd Street	residential			yes
5671192	way	40.7516458	-73.9705452	East 45th Street	secondary	1		yes
5671196	way	40.8491400	-73.9332956	West 181st Street	tertiary			no
5671197	way	40.7093787	-73.9949784	South Street	primary	2	20 mph	no
5671202	way	40.7030060	-74.0083214	South Street	primary	1	20 mph	yes
5671203	way	40.7328322	-74.0098340	Weehawken Street	residential		25 mph	yes
5671212	way	40.7111286	-74.0006507	Pearl Street	residential	2	20 mph	no
5671220	way	40.7863347	-73.9717981	West 86th Street	secondary	4	25 mph	no
5671222	way	40.7847728	-73.9523772	East 94th Street	residential		25 mph	yes
5671244	way	40.8127821	-73.9347675	Harlem River Drive	residential	1	25 mph	yes
5671246	way	40.8145023	-73.9346187	Harlem River Drive	residential	1	25 mph	yes
5671248	way	40.7837502	-73.9577523	East 90th Street	residential	1	25 mph	yes
5671255	way	40.8215821	-73.9410288	West 144th Street	residential			yes
5671257	way	40.8251351	-73.9494772	West 144th Street	residential			yes
