u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,lanes,ref,access,bridge,tunnel,width,junction
42424142,42424145,0,46211822,motorway_link,,,True,False,122.07080831667417,1,,,,,,
42424142,4562863353,0,46694761,residential,25,East 78th Street,True,False,101.82385218721467,1,,,,,,
42424145,42438809,0,"[32960689, 489022290, 489022291, 1339759598]",motorway,40,FDR Drive,True,False,249.5885014823442,3,FDR,,,,,
42424225,42438859,0,5670738,residential,25,West 77th Street,False,False,274.03661263264627,2,,,,,,
42424225,42435301,0,1271523174,secondary,25,Central Park West,False,True,85.33843644833712,4,,,,,,
42424225,42427915,0,"[1271523176, 1271523177, 1271523178, 195743156, 1081895353]",secondary,25,Central Park West,False,False,324.59754206271447,"['4', '5']",,,,,,
42424235,589927993,0,5669407,secondary,25,Harlem River Drive,True,False,29.6498519146567,1,,,,,,
42424235,589927996,0,226007080,secondary,,5th Avenue,True,False,65.77168297035134,,,,,,,
42424258,42424408,0,"[982489289, 46116442]",motorway_link,25,,True,False,132.80887823176622,"['2', '1']",,,,,,
42424258,42424334,0,"[997455683, 263563003]",motorway,25,Holland Tunnel Rotary,True,False,133.74905078839322,"['2', '3']",I 78,,,,,
42424334,42424610,0,"[5669320, 1059459147, 421832647]",motorway_link,25,,True,False,91.15229994197647,"['2', '1']",,,,,,
42424334,42424347,0,465255350,motorway,25,Holland Tunnel Rotary,True,False,36.78361405248826,2,I 78,,,,,
42424347,4137021568,0,"[421832648, 5669321]",motorway_link,25,,True,False,92.95446939825707,"['2', '1']",,,,,,
42424347,42424354,0,541059722,motorway,25,Holland Tunnel Rotary,True,False,25.114278402310767,2,I 78,,,,,
42424354,3567807957,0,"[46116441, 954502538, 421832646]",motorway_link,25,,True,False,99.60504140891294,"['2', '1']",,,,,,
42424354,4778174564,0,"[46156708, 256902828]",motorway,25,Holland Tunnel Rotary,True,False,156.09973396000697,2,I 78,,,,,
42424408,42436340,0,1007629838,trunk,20,Hudson Street,True,False,73.91819107327417,5,,,,,,
42424408,42436064,0,"[1237326682, 1237326683]",primary,20,Laight Street,True,False,130.49992160650964,1,,,,,,
42424439,42431293,0,"[5669290, 760711170]",secondary,25,97th Street Transverse,True,False,168.4362002143077,1,,,,,,
42424439,42443381,0,5672068,secondary,,West 96th Street,False,False,274.6245646126436,6,,,,,,
42424439,42435328,0,895606701,secondary,25,Central Park West,False,True,86.0457244369001,4,,,,,,
42424439,42425232,0,"[195743154, 1271523190]",secondary,25,Central Park West,False,False,89.32400781010153,4,,,,,,
42424531,42425417,0,5669406,motorway_link,,,True,False,148.85707275581535,1,,,,,,
42424531,589927878,0,46240000,tertiary,,Harlem River Drive,True,False,146.1169301304398,,,,,,,
42424551,42424531,0,33114090,tertiary,25,Harlem River Drive,True,False,110.53266144596172,1,,,,,,
42424576,5333189428,0,944990225,secondary,25,Frederick Douglass Boulevard,True,False,18.643540044652763,2,,,,,,
42424576,589927879,0,664893485,secondary,25,Frederick Douglass Boulevard,False,True,158.0331037479841,4,,,,,,
42424610,42436308,0,"[46139042, 95181773]",secondary,20,Hudson Street,True,False,80.32371760467754,5,,,,,,
42424610,4137021568,0,"[480972178, 1237364397]",residential,20,Ericsson Place,True,False,134.03062203526898,1,,,,,,
42424610,42434871,0,"[1237364400, 1237097705, 46116435]",residential,20,Beach Street,True,False,130.46811890382298,2,,,,,,
42424630,42423514,0,954496239,motorway_link,25,,True,False,12.095244082764031,1,,,,,,
42424641,42423295,0,125527383,residential,25,FDR Drive,True,False,164.29216558848162,1,,,,,,
42424672,42427965,0,5669709,secondary,,York Avenue,False,False,78.25505847239906,4,,,,,,
42424672,3785575833,0,"[32958722, 46211831]",residential,25,"['FDR Drive', 'East 60th Street']",True,False,134.5441705227738,1,,,,,,
42424672,42448329,0,659714535,secondary,25,York Avenue,False,False,79.59031096387567,6,,,,,,
42424679,42425242,0,46226328,secondary,,West 133rd Street,True,False,15.530915146831921,1,,,,,,
42424679,42424698,0,"[46568349, 5669326]",motorway_link,,,True,False,401.5827473706548,,,,yes,,,
42424698,587934347,0,"[278707981, 278707979, 46568300, 46568381]",motorway,50,Henry Hudson Parkway,True,False,1189.183232728552,3,HH;NY 9A,,yes,,,
42424701,42429541,0,5671283,residential,,West 132nd Street,False,True,74.36827390480863,,,,,,,
42424701,42424703,0,"[1098144277, 963599646]",secondary,,Marginal Street,True,False,140.0814487238698,2,,,,,,
42424703,764744759,0,46111627,secondary,,Marginal Street,True,False,29.968329185397888,2,,,,,,
42424706,3570003194,0,46111629,secondary,,Saint Clair Place,True,False,5.4467731197072276,,,,,,,
42424706,254484327,0,5669328,motorway_link,,,True,False,353.9765637945307,1,,,,,,
42424757,589928033,0,5670751,residential,25,East 129th Street,True,False,143.54944090086332,,,,,,,
42424757,42447209,0,194933372,secondary,25,Lexington Avenue,True,False,79.59920455873527,2,,,,,,
42424758,373755525,0,5669417,motorway_link,,,True,False,297.1186400847227,2,,,,,,
42424758,42424757,0,46130054,primary,25,East 129th Street,True,False,59.07507383434255,3,,,,,,
42424789,42434434,0,"[1362572651, 46492638]",primary,,Dyer Avenue,True,False,86.70172612359411,5,,,,,,
42424789,42444991,0,"[847002232, 273895450]",residential,,West 40th Street,True,False,118.42881789428534,3,,,,,,
42424851,42443349,0,542216998,residential,,West 85th Street,True,False,273.04322248191386,,,,,,,
42424851,7106818626,0,"[1081895354, 1081895355]",secondary,25,Central Park West,False,False,86.12886773493697,4,,,,,,
42424851,42421800,0,"[1271523180, 1271523181]",secondary,25,Central Park West,False,True,80.76283530508907,4,,,,,,
42424864,42423456,0,46139033,primary,25,Varick Street,True,False,71.61612054534697,2,,,,,,
42424937,12522167755,0,5669370,motorway_link,,,True,False,951.20870954893,2,,,,,,
42424937,42424698,0,"[968394732, 46568381]",motorway,50,Henry Hudson Parkway,True,False,1660.6652631800978,3,HH;NY 9A,,yes,,,
42425088,7616688918,0,850894489,secondary,,Saint Clair Place,True,False,23.414411010874836,2,,,,,,
42425100,42429819,0,194923761,residential,25,Delancey Street,True,False,14.53212383555031,,,,,,,
42425127,42438961,0,195743332,secondary,25,5th Avenue,True,False,80.54077459112055,2,,,,,,
42425232,42443388,0,"[810068700, 810068702, 5671134]",residential,25,West 97th Street,True,False,274.2511482727951,2,,,,,,
42425232,42424439,0,"[195743154, 1271523190]",secondary,25,Central Park West,False,True,89.32400781010153,4,,,,,,
42425232,42425570,0,1271523191,secondary,25,Central Park West,False,False,232.10044302940088,,,,,,,
42425242,42424701,0,657059020,secondary,,Marginal Street,True,False,78.22074606484831,2,,,,,,
42425348,595314114,0,336872312,secondary,,Riverside Drive,False,False,86.1577314911415,,,,,,,
42425348,595314125,0,"[5670996, 763303894]",secondary,,Riverside Drive,False,True,321.04180143734175,,,,,,,
42425348,2029349871,0,895756217,secondary,,West 95th Street,True,False,18.417008019573238,,,,,,,
42425417,42426971,0,"[940728184, 46240091, 987628955, 33117583]",motorway,50,Harlem River Drive,True,False,1047.7228759321802,"['4', '3']",HRD,,yes,,,
42425425,42425484,0,5669414,motorway_link,,,True,False,119.76615700054802,1,,,,,,
42425425,589927965,0,"[5671246, 46240121, 46240142]",residential,25,"['Harlem River Drive', 'Madison Avenue']",True,False,204.12956436987128,1,,,,,,
42425484,373760396,0,958096263,motorway,50,Harlem River Drive,True,False,130.80316609373037,3,HRD,,,,,
